NCAA Name,Team Code,Org,Org-Division,Team Name (standardized),Nickname ,logo,Hex value (Team Colors)
Kansas,328,NCAA,Division 1,Kansas, Jayhawks,KU.png,#E51837 #FFD204 #FFFFFF #006AB5
Oklahoma State,521,NCAA,Division 1,Oklahoma State, Cowboys,OKST.png,#FFFFFF #000000 #FF6500
Oklahoma,522,NCAA,Division 1,Oklahoma, Sooners,OKLA.png,#000000 #FFFFFF #BA0034
TCU,698,NCAA,Division 1,TCU, Horned Frogs,TCU.png,#1E1B1C #FFFFFF #EBEBEB #3C377D
Texas Tech,700,NCAA,Division 1,Texas Tech, Red Raiders,TTU.png,#FFFFFF #000000 #C80025
Texas,703,NCAA,Division 1,Texas, Longhorns,TEX.png,#FFFFFF #EE7524
West Virginia,768,NCAA,Division 1,West Virginia, Mountaineers,WVU.png,#FFFFFF #000000 #FFC600
Notre Dame,513,NCAA,Division 1,Notre Dame, Fighting Irish,ND.png,#FFFFFF #BAA008 #00122B
Temple,690,NCAA,Division 1,Temple, Owls,TEM.png,#000000 #FFFFFF #A80532
Army,725,NCAA,Division 1,Army, Black Knights,ARMY.png,#FFFFFF #000000 #D19D00
Navy,726,NCAA,Division 1,Navy, Midshipmen,NAVY.png,#FFFFFF #FCBA29 #131630
Cal Poly,90,NCAA,Division 1,Cal Poly, Mustangs,CP.png,#FFFFFF #FFF1D0 #123C31
UC Davis,108,NCAA,Division 1,UC Davis, Aggies,UCD.png,#CCCCCD #FFFFFF #CB992B #183563
North Dakota State,493,NCAA,Division 1,North Dakota State, Bison,NDSU.png,#221E1F #FFFFFF #FEBB1C #01402A
Northern Colorado,502,NCAA,Division 1,Northern Colorado, Bears,UNCO.png,#FFFFFF #F9D245 #13558D
Savannah State,632,NCAA,Division 1,Savannah State, Tigers,SAV.png,#FFFFFF #FF0000 #280298
South Dakota State,649,NCAA,Division 1,South Dakota State, Jackrabbits,SDST.png,#FFFFFF #FFDE00 #005DAB
Southern Utah,667,NCAA,Division 1,Southern Utah, Thunderbirds,SUU.png,#FFFFFF #050607 #D12947
Florida Atlantic,229,NCAA,Division 1,Florida Atlantic, Owls,FAU.png,#CD1041 #FFFFFF #004B85
Florida International,231,NCAA,Division 1,Florida International, Golden Panthers,FIU.png,#FFFFFF #C5960B #002D62
Middle Tennessee,419,NCAA,Division 1,Middle Tennessee, Blue Raiders,MTU.png,#231F20 #FFFFFF #0079C2
North Texas,497,NCAA,Division 1,North Texas, Mean Green,UNT.png,#2D2327 #FFFFFF #00853D
